  PID TTY          TIME CMD
 1890 ?        00:00:00 gnome-session
 1895 ?        00:00:00 upstart-dbus-br
 1897 ?        00:00:00 upstart-file-br
 1899 ?        00:00:00 dbus-daemon
 1901 ?        00:00:00 unity-panel-ser
 1903 ?        00:00:00 upstart-dbus-br
 1906 ?        00:00:00 at-spi2-registr
 1915 ?        00:00:00 gvfsd
 1921 ?        00:00:00 gvfsd-fuse
 1948 ?        00:00:00 ibus-dconf
 1949 ?        00:00:00 ibus-ui-gtk3
 1951 ?        00:00:00 ibus-x11
 1960 ?        00:00:00 bamfdaemon
 1964 ?        00:00:01 ibus-engine-sim
 1970 ?        00:00:01 pulseaudio
 1982 ?        00:00:00 dconf-service
 1984 ?        00:00:00 systemd-localed
 2001 ?        00:00:00 indicator-keybo
 2007 ?        00:00:00 indicator-messa
 2009 ?        00:00:00 indicator-bluet
 2013 ?        00:00:00 indicator-power
 2015 ?        00:00:00 indicator-datet
 2024 ?        00:00:00 indicator-sound
 2031 ?        00:00:00 indicator-print
 2035 ?        00:00:00 indicator-sessi
 2037 ?        00:02:50 compiz
 2051 ?        00:00:00 indicator-appli
 2057 ?        00:00:00 evolution-sourc
 2058 ?        00:00:00 notify-osd
 2084 ?        00:00:15 nautilus
 2090 ?        00:00:00 unity-fallback-
 2095 ?        00:00:00 vmtoolsd
 2097 ?        00:00:00 polkit-gnome-au
 2098 ?        00:00:00 nm-applet
 2113 ?        00:00:00 gvfs-udisks2-vo
 2116 ?        00:00:00 evolution-calen
 2123 ?        00:00:00 gconfd-2
 2127 ?        00:00:00 udisksd
 2140 ?        00:00:00 gvfs-afc-volume
 2147 ?        00:00:00 gvfs-gphoto2-vo
 2152 ?        00:00:00 gvfs-mtp-volume
 2167 ?        00:00:00 gvfsd-trash
 2208 ?        00:00:00 gvfsd-burn
 2219 ?        00:00:00 gvfsd-metadata
 2229 ?        00:00:00 cupsd
 2232 ?        00:00:00 dbus
 2233 ?        00:00:00 dbus
 2234 ?        00:00:00 dbus
 2245 ?        00:00:00 telepathy-indic
 2252 ?        00:00:00 mission-control
 2270 ?        00:00:00 zeitgeist-datah
 2275 ?        00:00:00 zeitgeist-daemo
 2281 ?        00:00:00 zeitgeist-fts
 2302 ?        00:00:00 cat
 2309 ?        00:00:09 gnome-terminal
 2315 ?        00:00:00 gnome-pty-helpe
 2316 pts9     00:00:00 bash
 2371 ?        00:00:00 update-notifier
 2413 ?        00:00:00 deja-dup-monito
 2425 pts9     00:00:00 a.out
